manifest,source_type,plant_name,asset_path,image_url,source_page_url,license_label,license_url,creator,rights_holder,attribution_text,publisher,occurrence_key,dataset_key
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4607647505__8eb78eb13978c3ff__cc0-1.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/364056095/original.jpeg,https://www.inaturalist.org/photos/364056095,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,Ellyne Geurts,Ellyne Geurts,Photo: Ellyne Geurts | License: CC0 1.0 | Source: https://www.inaturalist.org/photos/364056095 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4607647505,,4607647505,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4852198681__8ba34ae6d9bffcd2__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/375162335/original.jpg,https://www.inaturalist.org/photos/375162335,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Alexis Tinker-Tsavalas,Alexis Tinker-Tsavalas,Photo: Alexis Tinker-Tsavalas | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/375162335 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4852198681,,4852198681,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4600208122__57c0df31aa083bdd__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/360618238/original.jpg,https://www.inaturalist.org/photos/360618238,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Andrea,Andrea,Photo: Andrea | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/360618238 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4600208122,,4600208122,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4606837192__cb9369aa5c1ceaf4__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/361507934/original.jpeg,https://www.inaturalist.org/photos/361507934,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Alexis Tinker-Tsavalas,Alexis Tinker-Tsavalas,Photo: Alexis Tinker-Tsavalas | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/361507934 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4606837192,,4606837192,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4863712439__340ff0d9e86435c1__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/375144896/original.jpg,https://www.inaturalist.org/photos/375144896,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Alexis Tinker-Tsavalas,Alexis Tinker-Tsavalas,Photo: Alexis Tinker-Tsavalas | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/375144896 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4863712439,,4863712439,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4853213229__1a6f93d130223263__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/375167588/original.jpg,https://www.inaturalist.org/photos/375167588,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Alexis Tinker-Tsavalas,Alexis Tinker-Tsavalas,Photo: Alexis Tinker-Tsavalas | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/375167588 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4853213229,,4853213229,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4852580612__8bb5f87c7a724b30__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/375180199/original.jpg,https://www.inaturalist.org/photos/375180199,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Alexis Tinker-Tsavalas,Alexis Tinker-Tsavalas,Photo: Alexis Tinker-Tsavalas | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/375180199 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4852580612,,4852580612,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4852137308__6af5870aa01a6fb3__cc0-1.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/371033772/original.jpeg,https://www.inaturalist.org/photos/371033772,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/,Letizia Weichgrebe,Letizia Weichgrebe,Photo: Letizia Weichgrebe | License: CC0 1.0 | Source: https://www.inaturalist.org/photos/371033772 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4852137308,,4852137308,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4851780968__f15dcc0992db1274__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/371106066/original.jpeg,https://www.inaturalist.org/photos/371106066,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Alexis Tinker-Tsavalas,Alexis Tinker-Tsavalas,Photo: Alexis Tinker-Tsavalas | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/371106066 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4851780968,,4851780968,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4852763111__7c831d55e4576f54__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/374313630/original.jpg,https://www.inaturalist.org/photos/374313630,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Alexis Tinker-Tsavalas,Alexis Tinker-Tsavalas,Photo: Alexis Tinker-Tsavalas | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/374313630 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4852763111,,4852763111,50c9509d-22c7-4a22-a47d-8c48425ef4a7
assets/plant_images/gbif_samples/index.json,gbif_samples,Acer platanoides,gbif_wf_data/assets/plant_images/gbif_samples/reviewed_acer_platanoides/acer_platanoides__4596872431__d6fb7a643875b2b6__cc-by-4.0.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/355905177/original.jpg,https://www.inaturalist.org/photos/355905177,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,Andrea,Andrea,Photo: Andrea | License: CC BY 4.0 | Source: https://www.inaturalist.org/photos/355905177 | GBIF dataset: 50c9509d-22c7-4a22-a47d-8c48425ef4a7 | Occurrence: 4596872431,,4596872431,50c9509d-22c7-4a22-a47d-8c48425ef4a7
